"TABLE","TABLEDESC","BEGINYEAR","ENDYEAR","COMPONENT"
"TB_K_R","Tuberculosis - Quantiferon TB Gold Plus",2019,2020,"Laboratory"
"TFR_J","Transferrin Receptor",2017,2018,"Laboratory"
"VID_I","Vitamin D",2015,2016,"Laboratory"
"TST_K_R","Sex Steroid Hormone Panel - Serum",2019,2020,"Laboratory"
"P_FASTQX","Fasting Questionnaire",2017,2020,"Laboratory"
"P_GHB","Glycohemoglobin",2017,2020,"Laboratory"
"P_TRIGLY","Cholesterol - Low-Density Lipoproteins (LDL) & Triglycerides",2017,2020,"Laboratory"
"P_HDL","Cholesterol - High - Density Lipoprotein (HDL)",2017,2020,"Laboratory"
"P_TCHOL","Cholesterol - Total",2017,2020,"Laboratory"
"P_GLU","Plasma Fasting Glucose",2017,2020,"Laboratory"
"P_ALB_CR","Albumin & Creatinine - Urine",2017,2020,"Laboratory"
"P_CBC","Complete Blood Count with 5-Part Differential in Whole Blood",2017,2020,"Laboratory"
"P_FETIB","Iron Status - Serum",2017,2020,"Laboratory"
"P_UCFLOW","Urine Flow Rate",2017,2020,"Laboratory"
"P_BIOPRO","Standard Biochemistry Profile",2017,2020,"Laboratory"
"P_CMV","Cytomegalovirus IgG & IgM Antibodies - Serum",2017,2020,"Laboratory"
"SSKL_E","Klotho - Serum (Surplus)",2007,2008,"Laboratory"
"P_HSCRP","High-Sensitivity C-Reactive Protein",2017,2020,"Laboratory"
"SSKL_F","Klotho - Serum (Surplus)",2009,2010,"Laboratory"
"SSKL_G","Klotho - Serum (Surplus)",2011,2012,"Laboratory"
"SSKL_H","Klotho - Serum (Surplus)",2013,2014,"Laboratory"
"SSKL_I","Klotho - Serum (Surplus)",2015,2016,"Laboratory"
"P_FERTIN","Ferritin",2017,2020,"Laboratory"
"P_UCPREG","Urine Pregnancy Test",2017,2020,"Laboratory"
"P_HIV_R","HIV Antibody Test",2017,2020,"Laboratory"
"P_HSV_R","Herpes Simplex Virus Type-1 and Type-2 - Youth",2017,2020,"Laboratory"
"P_HSVA_R","Herpes Simplex Virus Type-1 and Type-2",2017,2020,"Laboratory"
"SSCGA_B","Cancer antigen CA125, CA15.3 and HE4 IgG antibodies - Serum (Surplus)",2001,2002,"Laboratory"
"P_INS","Insulin",2017,2020,"Laboratory"
"P_MGEA_R","Mycoplasma genitalium- Urine - Adult",2017,2020,"Laboratory"
"P_MGEN_R","Mycoplasma genitalium- Urine -Youth",2017,2020,"Laboratory"
"P_CHLA_R","Chlamydia - Urine - Adult",2017,2020,"Laboratory"
"P_CHLM_R","Chlamydia - Urine - Youth",2017,2020,"Laboratory"
"P_TRIA_R","Trichomonas - Urine - Adult",2017,2020,"Laboratory"
"P_TRIC_R","Trichomonas - Urine - Youth",2017,2020,"Laboratory"
"SSBNP_A","N-terminal Pro-BNP (Surplus)",1999,2004,"Laboratory"
"P_PBCD","Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",2017,2020,"Laboratory"
"P_PBY_R","Lead - Blood - Youth",2017,2020,"Laboratory"
"P_IHGEM","Inorganic, Ethyl and Methyl - Blood",2017,2020,"Laboratory"
"P_FOLATE","Folate - RBC",2017,2020,"Laboratory"
"P_FOLFMS","Folate Forms - Total & Individual - Serum",2017,2020,"Laboratory"
"P_CRCO","Chromium & Cobalt",2017,2020,"Laboratory"
"P_UAS","Arsenics - Speciated - Urine",2017,2020,"Laboratory"
"P_UTAS","Arsenic - Total - Urine",2017,2020,"Laboratory"
"P_UCM","Chromium - Urine",2017,2020,"Laboratory"
"P_UHG","Mercury: Inorganic - Urine",2017,2020,"Laboratory"
"P_UIO","Iodine - Urine",2017,2020,"Laboratory"
"P_UNI","Nickel - Urine",2017,2020,"Laboratory"
"P_UM","Metals - Urine",2017,2020,"Laboratory"
"P_VOCWB","Volatile Organic Compounds and Trihalomethanes/MTBE - Blood",2017,2020,"Laboratory"
"P_UM_R","Lead (Youth), Strontium, and Uranium - Urine",2017,2020,"Laboratory"
"IODS_K_R","Iodine - Salt",2019,2020,"Laboratory"
"VITAEC_J","Vitamin A, Vitamin E & Carotenoids",2017,2018,"Laboratory"
"VCWB_K_R","Volatile Organic Compounds - A-Pinene - Blood",2019,2020,"Laboratory"
